'duration','end_of_fade_in','key','loudness','start_of_fade_out','tempo','artist_familiarity','artist_hotttnesss','release_7digitalid','song_hotttnesss'
247.14404,0.363,10,-6.276,242.608,126.855,0.5665379919676716,0.37571165345897,252672,0.48456252996792964
282.38322,0.0,10,-6.022,280.189,94.31,0.705491779875456,0.39345711137576006,114404,0.0
158.32771,0.085,4,-3.495,151.307,87.872,0.7014417589824127,0.5043077259823238,504863,0.5159636307203983
912.97914,0.293,8,-13.025,908.458,70.608,0.4246121307246204,0.3410821824524457,47846,0.25383473613223129
190.74567,2.119,6,-5.718,181.748,155.08,0.8335903350968519,0.556477414706974,282489,0.8172275597425861
68.49261,0.43,7,-12.919,66.374,142.666,0.7914655421770528,0.47788930391586204,521655,0.6136522020662345
250.01751,0.543,9,-5.569,235.938,165.621,0.6088248054637592,0.42865098878987407,610778,0.21508031850922793
232.51546,2.165,4,-15.497,225.837,104.346,0.730265183221149,0.4636738694438821,279675,0.21508031850922793
259.91791,0.177,11,-6.066,256.714,91.988,0.6796542390260255,0.3807564155734675,627899,0.28120976448894247
185.10322,0.118,6,-3.261,185.103,144.017,0.7680042347735891,0.5608197692618571,7830,0.52165925804846114
231.94077,0.0,4,-3.387,224.641,161.739,0.8582706777960948,0.515325300572259,93013,0.630325326733018
243.17342,0.195,11,-8.081,229.959,110.706,0.595645308494379,0.4260093004837602,263344,0.55654110350485531
251.79383,0.309,2,-12.378,245.023,108.153,0.4500535683334133,0.39535279249535926,800719,0.0
238.94159,0.234,7,-9.931,225.321,155.982,0.28219106774534153,0.403032205296799,367968,0.45099231163625503
245.73342,0.247,7,-8.997,230.534,120.172,0.5971133628313751,0.37655698104593144,209913,0.38293509007501925
155.61098,0.0,1,-2.321,146.831,88.889,0.7986451787418826,0.5524133455169445,14318,0.71839133028994295
300.14649,0.072,6,-5.693,288.311,137.804,0.7142014472093124,0.49612334604345754,62347,0.81839437971637685
295.75791,4.36,9,-7.867,276.12,97.683,0.6908937760116328,0.5661383980110223,25159,0.47850440038181841
377.62567,0.0,11,-5.98,358.905,128.007,0.5694818334789852,0.3719352651037364,503103,0.66653237909426755
138.44853,0.479,0,-12.665,133.59,169.822,0.41286748803742285,0.2386963500981182,646387,0.0
154.53995,0.0,7,-6.923,150.018,118.02,0.6231542839712871,0.42935351499935154,609807,0.49080848763126594
183.35302,0.143,4,-8.688,175.595,210.253,0.6553591154261498,0.40503129793646875,527714,0.31276991953042571
202.08281,0.255,5,-6.424,187.339,117.142,0.7079250270253531,0.4990183984153171,57880,0.66846625787027092
255.05914,0.171,7,-5.052,249.945,128.998,0.698977345836088,0.39410780419688507,509820,0.0
307.33016,0.293,9,-8.067,293.419,79.076,0.4193126413987156,0.3196514586921026,620977,0.0
183.90159,0.087,11,-12.289,178.666,187.176,0.7272303154628746,0.4765593789777819,329967,0.0
304.66567,0.386,3,-6.821,289.1,111.942,0.6200416947183899,0.3649755953962232,603540,0.31956598688286503
281.0771,2.705,9,-11.403,275.54,132.946,0.7248644815196338,0.5244494707134351,30908,0.59116142544073147
144.01261,0.0,9,-4.527,140.754,71.707,0.839962768151037,0.5418889720336469,240656,0.46630483075728635
328.14975,0.0,0,-6.032,328.15,99.993,0.6168845440365633,0.34384449941445117,45348,0.58311649523139775
184.76363,0.0,2,-7.467,184.764,127.937,0.6943577464366076,0.5207841069422383,401060,0.6461512337882942
253.09995,0.131,2,-5.172,240.089,165.552,0.7841439647957018,0.5531688635836378,316281,0.0
150.17751,0.142,5,-12.85,143.163,112.522,0.291433259678306,0.1903461623519362,440190,0.0
193.95873,0.345,6,-14.477,183.316,100.922,0.5493533768111833,0.41712458371887273,109026,0.20138744193431418
293.72036,0.247,2,-17.448,279.963,124.513,0.6350878112623854,0.40650824851981693,60420,0.33470654906922059
221.09995,0.177,6,-7.114,215.545,149.984,0.582365878546936,0.3028554195218622,793450,0.0
179.51302,0.0,6,-1.997,171.584,98.071,0.7292122740965461,0.48133930857423185,795316,0.21508031850922793
266.52689,0.711,7,-15.175,263.726,98.8,0.5080586129066689,0.3722985729468398,64577,0.0
140.56444,2.229,4,-11.616,138.432,100.869,0.47021229568907263,0.3200869267523748,291956,0.26695518627553855
206.99383,0.0,5,-5.435,196.94,40.027,0.6178701163443497,0.36366811024462387,328275,0.0
131.44771,0.0,2,-9.771,127.431,108.829,0.45360053886418067,0.3508035740686485,383446,0.40511572169138649
121.02485,0.203,7,-9.652,112.808,148.264,0.1729213015573182,0.0,198644,0.21204540548371908
569.20771,0.0,3,-17.647,562.364,96.598,0.5410779524977934,0.30454771337183484,140708,0.0
135.52281,0.0,1,-6.6,132.487,191.063,0.7788167165625715,0.5542914890128156,226776,0.43965465970686407
316.55138,0.239,10,-7.43,312.436,95.863,0.6864520832317745,0.5172592831380602,809638,0.4623799459732465
167.02649,0.276,0,-12.442,161.297,81.674,0.6168963856681389,0.4165039463700261,462282,0.61930588111548679
238.91546,4.627,0,-19.97,219.533,182.589,0.49089798839115084,0.3653021909738527,5395,0.0
529.03138,0.381,0,-6.56,514.688,155.091,0.5831440703154909,0.3709151438223631,723079,0.46384907791765656
319.84281,0.264,0,-7.82,306.318,109.509,0.33895602238826,0.3515614069614046,29161,0.52549711888017003
220.83873,0.25,4,-14.87,210.083,119.526,0.44104996018435266,0.35300068828370523,457877,0.62453604925948958
175.25506,0.38,11,-14.585,171.363,162.38,0.6578268856404534,0.45873080635884184,159971,0.0
861.83138,7.39,2,-20.288,851.528,81.302,0.6839515036360737,0.46296398721197823,189544,0.49944583480063209
196.23138,0.0,4,-9.311,189.417,183.048,0.644478694650085,0.4957293589457067,415336,0.33888672001070602
248.58077,0.136,8,-10.007,234.162,122.99,0.027457373237041217,0.0,739931,0.0
92.13342,0.243,0,-26.045,92.133,84.462,0.49793219113114934,0.2582756159529409,98022,0.0
222.14485,2.873,0,-10.031,219.045,109.062,0.6982916236578486,0.45385026533052464,47639,0.0
259.23873,0.359,10,-9.654,253.748,144.026,0.493486473128519,0.3863121306001651,299302,0.29987748827397781
186.67057,0.363,9,-21.091,180.117,86.71,0.5492829074585028,0.3475475805256747,55922,0.35097950637142938
206.34077,0.0,11,-7.399,202.733,169.951,0.8098280918397787,0.5396443124242588,182774,0.48711219486346274
181.39383,0.398,10,-17.148,172.391,88.313,0.4905864018711718,0.35102262079534835,174691,0.5114243256864599
298.57914,3.129,4,-5.899,287.126,135.314,0.7497969594005849,0.5515524551563505,46122,0.579038701159863
237.00853,0.131,7,-9.664,232.24,85.744,0.6918507365964088,0.467885511383105,533415,0.62736344757591989
156.05506,0.0,2,-11.956,148.364,165.142,0.3666783310922907,0.27247125591556115,356210,0.21508031850922793
176.03873,0.095,0,-25.452,167.602,73.581,0.41614717642534665,0.2874467532300883,576258,0.19129994162389227
226.40281,10.617,0,-7.332,221.112,90.217,0.4699482122281225,0.338104616266341,632530,0.28146632194235949
232.202,2.694,9,-5.551,215.232,131.915,0.5379505190876106,0.4056577581500732,137777,0.26586104921065007
207.28118,0.386,1,-10.179,200.754,94.15,0.5593175024118211,0.43700191865316,75273,0.24841873262179984
226.2722,0.276,4,-9.344,219.028,124.693,0.757389969929311,0.5167640302671827,46454,0.476435219642529
270.00118,0.0,2,-10.034,261.579,136.021,0.4986768303970954,0.35416895482890376,215847,0.0
135.23546,0.432,6,-7.324,124.68,177.551,0.7004466143862085,0.528795206130862,986,0.71848547465533397
251.11465,3.825,11,-7.327,241.331,209.956,0.4984141333079685,0.32600887327943756,620666,0.40511572169138649
81.6322,0.0,8,-6.103,81.632,158.016,0.7970248173490673,0.4166101072230988,709510,0.40511572169138649
434.49424,6.728,7,-10.787,434.494,150.407,0.6174214066397045,0.44925387694771113,279664,0.21204540548371908
275.48689,0.072,7,-3.545,272.237,130.683,0.715418676514618,0.4543626241556834,129068,0.0
133.98159,0.0,9,-9.498,126.816,123.006,0.5300223101252747,0.40924463861600635,63876,0.3775316449767025
311.11791,0.0,4,-6.818,304.141,164.946,0.6180027149087712,0.3494763271978497,506022,0.30416950343527516
235.65016,0.415,2,-6.322,224.729,142.893,0.7310657557108706,0.5098787078527026,47538,0.39200877147130697
187.76771,0.0,1,-2.863,179.734,156.202,0.5013683431967768,0.3103173372383893,542446,0.0
266.34404,0.392,1,-6.31,260.487,143.267,0.39271030278991514,0.31178940576016817,505430,0.26586104921065007
415.50322,0.514,9,-7.763,402.303,100.017,0.520002445238985,0.46087511344909887,634063,0.0
191.92118,3.204,3,-10.001,175.09,234.334,0.5851612067387485,0.3670714492885737,270410,0.24906579485370342
123.24526,0.206,3,-10.844,109.912,120.381,0.2596329272951822,0.347104737832973,601529,0.0
248.08444,0.205,9,-5.927,242.149,97.536,0.5777733372917061,0.2984483114383103,709587,0.0
115.82649,0.206,0,-15.304,110.434,171.743,0.5584812529779845,0.37632596022927123,632827,0.4733465411087876
143.67302,0.258,5,-7.217,134.037,138.876,0.45470991102879554,0.2928015391228553,662666,0.0
258.2722,1.048,3,-7.178,245.806,109.993,0.651039380171071,0.4349760317895153,282985,0.40003965695463956
212.50567,0.136,11,-4.485,205.607,103.003,0.5265152781107441,0.40658168035189596,27497,0.39670013841706814
178.65098,0.455,2,-21.039,172.304,41.634,0.0,0.0,789523,0.0
425.37751,0.714,0,-15.962,389.851,90.92,0.22419313842204025,0.42041261759961973,87624,0.0
293.92934,0.0,0,-6.394,285.634,121.996,0.46775906519561133,0.31876265848978913,770850,0.65193572124196186
77.60934,0.369,8,-19.015,70.2,155.659,0.5729433958023782,0.4358082848637359,505179,0.26695518627553855
7.13098,0.0,1,-13.558,7.131,195.208,0.7914655421770528,0.47788930391586204,290113,0.6136522020662345
263.41832,0.0,8,-7.966,244.965,133.297,0.5508627546551241,0.32398405449830525,466366,0.26586104921065007
277.002,0.281,8,-7.44,263.349,176.014,0.3467445104799772,0.3067840169704845,602387,0.23957751093749546
230.50404,0.0,10,-8.668,211.603,95.752,0.822316235978841,0.5088131950100051,8567,0.67823592540948463
180.32281,0.176,7,-19.397,173.18,104.0,0.27443294790503525,0.26622953991263976,564601,0.0
202.57914,0.456,3,-8.374,198.676,124.019,0.48446304405210033,0.3425370031626706,542670,0.46048484498641545
230.37342,0.206,7,-27.755,226.493,99.933,0.5772760891324358,0.37693998444161575,532995,0.25383473613223129
154.95791,0.0,11,-8.005,147.046,120.148,0.7440079147104803,0.5200496881789747,705593,0.0
549.3024,0.334,6,-14.165,549.302,258.677,0.4524834382980981,0.406198747834107,335319,0.28848164265602888
312.05832,0.16,9,-13.016,305.267,103.995,0.9290302874411605,0.7504265510189179,521416,0.68244912423155502
229.51138,1.622,0,-9.698,224.485,119.336,0.5400377489797789,0.36005330653898404,284466,0.33470654906922059
188.3424,0.415,2,-17.126,183.159,157.932,0.4234013772561962,0.37565282400247096,237206,0.0
351.50322,0.125,9,-2.937,340.561,98.246,0.44917832625677784,0.3301197135566966,781518,0.36560316273783999
109.81832,0.067,10,-9.058,101.367,120.047,0.5013371622205839,0.38067987361328043,599426,0.42744657148843085
101.58975,0.0,2,-14.966,92.741,71.478,0.5447494894552873,0.41741046690001027,185936,0.26185283677694909
174.15791,0.142,2,-5.546,167.967,125.093,0.44106128409945095,0.3437719451180466,630254,0.48213758506501503
403.25179,0.193,6,-11.533,379.64,143.676,0.6305505684126376,0.5455719612113675,511939,0.30416950343527516
258.89914,0.193,3,-5.811,252.54,124.998,0.6195309911238334,0.3543696158071208,158479,0.48456252996792964
334.75873,0.0,11,-6.893,310.578,166.03,0.8216973167394691,0.6017297557100237,20137,0.64855747137570685
174.31465,0.0,5,-6.119,157.762,86.778,0.7291494406802604,0.5222778974185658,13727,0.60893294637798823
154.27873,0.16,7,-4.035,151.51,178.427,0.9289369261885644,0.5985554118943955,584878,0.60408817807780324
828.05506,2.293,2,-6.223,823.496,128.45,0.5673132241223214,0.5800131829395042,135662,0.0
203.15383,0.609,5,-12.939,189.457,119.831,0.6880033488369731,0.4693403742592461,109107,0.60455448492034791
162.79465,2.577,4,-9.18,152.253,131.612,0.6319790854692059,0.39957965816802155,211868,0.6377832856518485
171.67628,0.321,11,-8.473,164.061,208.567,0.6087035683375998,0.36221895681539285,757775,0.24906579485370342
283.27138,0.334,5,-15.355,269.444,100.455,0.5582453092722094,0.43948809906182723,262108,0.26586104921065007
237.92281,0.0,6,-9.868,234.574,150.958,0.4152809003644191,0.284260942741617,598147,0.4081108835105221
359.52281,0.0,2,-13.443,335.441,169.797,0.467413843769302,0.372737613340037,713761,0.24816662402461448
236.2771,0.0,3,-13.971,229.32,140.042,0.7415181300427279,0.5204121100542216,608839,0.3651438041452445
424.22812,2.386,1,-16.6,416.386,125.038,0.5839898424155631,0.47363666453384023,282383,0.42512465831305757
345.70404,0.142,4,-22.715,340.822,45.199,0.5481800931268294,0.3825916380955341,620403,0.31356211424793418
302.36689,0.0,5,-8.004,297.152,150.117,0.6060110032472622,0.4872029945562743,535346,0.33470654906922059
184.78975,0.386,2,-10.939,180.814,149.981,0.7318222186514295,0.4249403308027947,47590,0.42744657148843085
298.89261,0.0,10,-15.102,293.326,99.958,0.3745534356821609,0.3275438133781237,550688,0.55270511390461041
489.58649,0.0,6,-14.66,456.22,97.014,0.4910501682957887,0.35500876872856957,798504,0.28848164265602888
355.73506,2.74,5,-9.306,342.808,113.142,0.7523186429707953,0.5401577442956546,34149,0.0
359.65342,0.375,0,-4.523,356.02,99.882,0.5015653751848096,0.3157956797084056,543138,0.22504466868040668
222.92853,0.392,8,-5.825,210.593,121.944,0.5352927355118197,0.385470550555821,41838,0.0
226.24608,2.45,4,-8.781,210.953,99.093,0.5451592956008632,0.35155586118563925,338819,0.0
218.40934,0.0,1,-11.496,209.676,67.137,0.6806202476884844,0.44032607280862934,130773,0.36037058271214062
192.60036,0.444,11,-12.883,192.6,88.537,0.5570261643754362,0.3203064969873311,152447,0.6362872244273321
229.79873,0.0,2,-5.118,216.375,239.407,0.6079199780130808,0.3987271229661493,128149,0.66165139072644763
283.74159,8.94,6,-16.715,274.338,122.895,0.5488824242811413,0.3862437005208074,462656,0.3775316449767025
331.59791,8.168,7,-8.1,315.867,170.04,0.5539145531919,0.3648188702400161,767267,0.48828987603734525
259.83955,0.0,11,-6.699,252.865,119.992,0.5895126341409691,0.38490224958868957,20337,0.4733465411087876
164.54485,0.0,4,-13.827,159.643,107.288,0.34151385491859326,0.2570629202962798,509775,0.0
164.33587,0.34,4,-6.231,156.52,105.976,0.5772321550307582,0.43144803456761877,449723,0.4944895175021134
84.47955,0.172,4,-12.75,79.47,93.352,0.6748394358233949,0.4254506138636907,260078,0.78958341704847002
412.02893,1.019,7,-14.964,390.327,84.949,0.5335043143417373,0.41283011179488094,529899,0.26695518627553855
221.6224,0.206,7,-11.881,216.474,128.137,0.5675109859285001,0.4308976087151808,8744,0.53172209842130014
336.32608,0.0,9,-12.328,326.502,105.981,0.6478348400058205,0.47245177187094,368997,0.40723301490110481
196.10077,0.0,9,-7.467,196.101,160.138,0.6992620557763054,0.4759412895980046,47197,0.60855282133751021
781.60934,0.0,11,-18.626,688.826,144.354,0.5310108259424263,0.3718367671234585,776090,0.27077599894632748
296.6722,0.287,10,-6.465,291.765,140.283,0.48800888180325214,0.3140117898326241,103872,0.33470654906922059
195.65669,1.53,6,-3.044,193.312,144.721,0.5890728198040683,0.3926592128908621,291849,0.23993682440382563
295.67955,5.671,9,-6.473,271.209,137.008,0.8650215114996607,0.9160532282837347,11309,0.62705581074741557
225.33179,0.0,10,-7.991,210.083,135.985,0.5660243021595366,0.3846016855478264,282384,0.33470654906922059
175.38567,2.316,7,-6.754,160.723,124.826,0.5589162440267129,0.3925798777553678,14582,0.79056680235816312
397.66159,3.135,7,-13.114,379.106,148.277,0.5069768442453816,0.4141964814069906,15290,0.21204540548371908
196.49261,0.433,9,-11.796,183.89,143.606,0.6838450066083304,0.45478537949601694,303719,0.51318973612581897
242.18077,0.287,2,-7.665,235.752,83.341,0.7139458812470219,0.4669912722868447,210004,0.349166902124596
255.39873,0.183,10,-8.022,245.522,105.919,0.7498763671900177,0.5283022622842384,14421,0.67823592540948463
241.24036,0.177,1,-9.742,226.371,107.936,0.6797491237056491,0.45859540287695577,295644,0.59024059758241698
291.49995,0.218,1,-13.629,278.727,97.691,0.5303556678749041,0.39717904259160935,467076,0.53557522229741672
151.32689,3.547,4,-11.579,145.148,160.623,0.5168736834341928,0.31060034368783074,286538,0.26695518627553855
236.09424,0.253,2,-15.737,227.103,91.888,0.6394369488218412,0.43094204343555065,267732,0.0
204.85179,0.119,8,-6.682,186.694,126.956,0.5657387804127691,0.3695057504791091,226963,0.0
99.29098,0.0,3,-6.748,99.291,88.138,0.3949625000942707,0.310087326212534,377443,0.0
193.20118,0.177,6,-19.233,185.109,102.248,0.5725006006819784,0.3680540387507248,142964,0.50338123620631914
175.0722,0.0,2,-19.273,169.709,80.583,0.3867161753601155,0.281887097438807,535936,0.27407357810339028
236.43383,0.072,0,-5.438,231.242,102.643,0.6192606048777783,0.41693587166116425,400773,0.0
225.25342,0.252,2,-27.019,214.674,149.895,0.45036126087745676,0.2677574953811427,240382,0.0
150.282,0.0,0,-14.305,142.414,73.314,0.4497408395768027,0.37437516821599354,648611,0.0
180.81914,0.411,4,-13.606,169.732,164.069,0.6806202476884844,0.44032607280862934,68110,0.4627689450607072
204.09424,0.2,4,-11.774,189.463,146.186,0.6042965872663661,0.437987748288433,46679,0.0
98.89914,0.0,0,-3.805,98.899,85.466,0.7680042347735891,0.5608197692618571,7830,0.64594283712971379
290.37669,0.0,9,-4.502,287.678,156.078,0.4257350827724184,0.2960761837450744,822324,0.30599288651581996
70.05995,0.655,9,-24.651,60.749,60.404,0.6134649321348336,0.4121155534594195,539442,0.26695518627553855
183.17016,0.276,0,-14.668,176.216,180.521,0.6087035683375998,0.36221895681539285,758079,0.26586104921065007
259.02975,0.0,11,-5.284,259.03,98.638,0.5504584047145634,0.2876025570181426,807577,0.0
271.882,0.0,1,-5.981,271.882,154.753,0.6220796469013531,0.46803252796762473,554764,0.45744716708510053
285.83138,3.5,9,-4.035,278.076,144.987,0.6874783184494465,0.5162343840837891,64379,0.59711670292271968
374.49098,0.3,9,-12.101,374.491,142.839,0.5343922941001787,0.34517431863973785,327857,0.22509597383833704
185.86077,2.293,2,-14.344,175.961,175.711,0.6626702064875899,0.3789698005016593,295494,0.37479683702140532
645.38077,11.389,9,-12.793,630.886,120.36,0.6271852491605759,0.3930157300453095,22385,0.40148671142756037
154.30485,0.206,9,-11.301,148.712,179.081,0.46299609437200084,0.32939194916225606,485079,0.65480066243638213
198.63465,0.0,7,-7.168,193.19,74.074,0.8399750935384906,0.5418889720336469,360380,0.39439485610058261
168.56771,0.624,7,-15.529,150.645,78.19,0.6867208337716193,0.40809181858752275,34572,0.614576981682048
130.95138,0.224,1,-7.455,127.663,159.437,0.840409662154377,0.8404626880271164,804505,0.32647823750279131
241.8673,0.0,9,-12.328,236.124,94.423,0.8725365986697359,0.6111175034329808,289322,0.59492365715315298
202.91873,0.0,7,-12.024,199.872,130.692,0.797420740746604,0.5364000107927084,575230,0.4541929882180224
145.05751,2.223,11,-10.544,140.132,150.569,0.7870983554809389,0.6344123849303008,171807,0.62406157128528505
151.92771,0.0,0,-4.468,146.019,149.767,0.7740371421614921,0.5217266477912379,509842,0.5519215149416955
212.24444,0.0,2,-6.791,206.292,153.058,0.6178701163443497,0.36366811024462387,328275,0.26586104921065007
233.35138,0.073,8,-13.767,222.441,101.867,0.6554834784453758,0.44521698744131516,483356,0.27077599894632748
153.44281,0.0,4,-9.326,149.362,131.248,0.8019892159693104,0.5803452713778326,26253,0.0
624.66567,0.0,2,-12.161,616.165,101.37,0.7493178009614533,0.48165586241245567,78783,0.62947673267517423
333.00853,0.0,11,-4.197,333.009,117.236,0.4912562094922859,0.3262082546201735,620344,0.36560316273783999
218.64444,0.274,9,-5.806,215.353,130.495,0.7057458180209083,0.3590642959885093,151246,0.35897652643959738
274.93832,0.368,4,-7.964,271.476,91.341,0.5381377399132121,0.4003877565967999,296992,0.0
249.52118,0.061,3,-5.951,244.402,98.998,0.6388642033527857,0.33280983172339834,395976,0.50357622432513693
233.27302,0.073,9,-5.92,229.75,208.002,0.4449264128834222,0.3448144687039853,137257,0.4944895175021134
217.65179,2.659,7,-8.852,206.489,102.99,0.39560350922248033,0.0,601698,0.0
219.37587,2.27,7,-7.36,209.874,148.0,0.7750860583827819,0.6051911529647471,20699,0.64855747137570685
296.38485,0.0,10,-2.029,292.351,115.236,0.6386140224507543,0.601436482837353,135561,0.68461308554066258
188.21179,0.0,7,-5.008,188.212,178.142,0.6810906917425594,0.48853612540190205,205356,0.65694171696017123
236.77342,0.0,9,-4.548,236.773,122.645,0.6038437649241952,0.5128121029400006,586019,0.6049633995508662
188.86485,0.0,8,-17.193,182.184,81.858,0.27443294790503525,0.26622953991263976,564601,0.0
223.76444,0.113,8,-2.839,221.048,185.012,0.6310503199042136,0.6094811613378577,389990,0.62821796457940249
293.40689,0.316,1,-4.994,289.332,179.004,0.495819328959285,0.34276521913001623,630086,0.38679017713901431
182.22975,0.345,7,-9.156,182.23,148.024,0.33545213389885764,0.0,823358,0.28848164265602888
109.26975,2.154,1,-11.286,109.27,139.02,0.6310812836244424,0.3728941735963606,330307,0.4944895175021134
413.51791,0.201,11,-7.801,411.225,125.997,0.4136475956736513,0.18614164293301078,606149,0.0
126.17098,0.282,6,-6.551,119.211,88.053,0.6220309719252669,0.40951872840233794,223464,0.92836711341378242
441.88689,0.0,7,-5.94,420.513,154.24,0.8302522617224859,0.5079658021593736,124129,0.33470654906922059
128.1824,0.496,10,-6.515,128.182,124.283,0.604282094145912,0.4075390194461255,759049,0.24906579485370342
240.97914,0.374,3,-8.505,230.208,143.908,0.7005700650188338,0.4875956476957864,304675,0.51351702853713854
182.49098,0.195,11,-12.007,175.438,67.56,0.6933279789975069,0.41940814111863367,604354,0.36037058271214062
260.51873,5.468,0,-8.013,256.946,142.26,0.43966371060136195,0.3073662344450928,291718,0.26695518627553855
125.93587,0.0,9,-20.868,118.19,135.759,0.19137366137068,0.25794973745080507,245319,0.21204540548371908
116.58404,4.702,6,-14.223,116.584,87.46,0.510577267623518,0.3268160736478344,253965,0.21204540548371908
125.28281,0.0,2,-4.285,125.283,133.05,0.8433223390347955,0.5545643017205006,864,0.54451400187885057
99.00363,0.0,1,-6.459,99.004,106.065,0.8440395322273969,0.5243789875148084,175909,0.65473453723686081
290.16771,0.0,0,-7.06,286.668,174.33,0.4320747960152752,0.29939278719775364,345122,0.37707519502898879
152.37179,0.0,0,-16.709,138.501,98.508,0.47572156673067817,0.39837312273653963,249417,0.0
98.16771,0.0,1,-3.887,98.168,123.881,0.989938569657492,0.8434308442147149,25448,0.60408817807780324
568.99873,4.685,7,-18.786,539.312,100.648,0.6195777990151731,0.36333056598371694,201822,0.26586104921065007
157.43955,0.0,5,-13.915,151.417,109.516,0.585735487898916,0.38384536725531265,673040,0.52549711888017003
244.08771,0.0,7,-6.228,224.682,123.245,0.6964509393416217,0.4891498166277913,391347,0.0
263.81016,0.0,2,-14.048,240.599,121.379,0.366302894628521,0.0,232781,0.0
232.38485,0.142,11,-5.797,229.756,124.995,0.6919731192813398,0.3966195656003381,16695,0.56545101217369831
354.35057,3.988,4,-7.333,337.56,105.131,0.7336378248267537,0.5265490346910755,202553,0.0
258.16771,0.276,2,-12.844,251.292,60.956,0.4520422472874589,0.3241574928410268,216326,0.40192573468604076
204.32934,0.183,1,-8.11,200.609,105.037,0.629089814035632,0.26921295113639365,637571,0.0
151.562,0.068,5,-9.889,138.223,167.829,0.49468141699642837,0.3841464443048954,534470,0.0
323.39546,0.397,2,-21.14,313.069,73.526,0.31970494188633497,0.21660646489226862,312987,0.31956598688286503
